url_length,num_dots,has_https,domain_age_days,num_special_chars,num_redirects,has_ip_address,urgent_words_count,num_links,label
39,2,1,1019,2,0,0,1,1,0
29,3,1,1425,4,1,0,2,2,0
25,2,1,1155,2,1,0,2,0,0
153,5,1,93,18,3,1,8,4,1
83,8,0,51,15,5,1,5,7,1
74,4,1,92,11,3,0,8,7,1
77,7,0,76,9,4,0,6,3,1
189,10,0,73,17,5,1,5,10,1
99,4,0,47,10,3,1,5,15,1
68,5,0,90,11,1,0,8,8,1
59,1,1,1274,1,1,0,2,2,0
68,6,0,95,17,3,0,8,9,1
18,3,1,1148,3,0,0,0,2,0
51,6,1,96,5,3,0,7,3,1
59,1,1,1030,5,0,0,1,3,0
54,3,1,748,2,1,0,0,0,0
19,1,1,396,1,0,0,0,2,0
139,7,0,96,10,5,0,9,7,1
62,6,0,32,14,5,1,5,3,1
85,3,0,83,17,5,1,7,8,1
149,9,0,21,7,3,1,3,4,1
29,3,1,1620,5,0,0,2,4,0
10,1,1,1752,0,0,0,0,4,0
28,3,1,339,3,1,0,2,5,0
135,7,0,84,7,4,1,4,10,1
22,1,1,742,5,0,0,2,4,0
29,2,1,322,1,0,0,1,4,0
172,3,0,69,6,3,1,8,6,1
153,7,1,66,19,5,0,7,5,1
23,2,1,337,2,0,0,0,2,0
57,3,1,1775,1,1,0,1,1,0
70,7,0,72,7,5,0,8,7,1
189,9,1,44,5,4,0,7,10,1
12,1,1,928,2,1,0,1,5,0
50,1,1,1438,4,1,0,2,3,0
16,2,1,1943,5,0,0,0,5,0
51,8,1,67,18,4,0,10,15,1
37,1,1,1449,5,0,0,1,2,0
71,5,1,64,20,4,1,6,14,1
121,5,0,88,13,2,1,9,15,1
176,8,1,98,14,2,1,9,13,1
20,1,1,347,4,0,0,0,2,0
166,6,0,49,8,2,1,4,4,1
91,5,0,3,12,5,0,7,13,1
10,3,1,1866,3,1,0,1,4,0
29,1,1,1136,2,0,0,2,2,0
110,6,1,16,11,5,1,9,15,1
27,3,1,995,4,0,0,1,1,0
16,3,1,1452,3,0,0,0,0,0
31,1,1,1699,2,0,0,0,3,0
58,3,1,1423,0,1,0,1,3,0
15,1,1,1279,0,0,0,1,5,0
38,2,1,1027,0,1,0,2,1,0
53,8,1,48,12,1,0,4,10,1
24,1,1,1738,4,0,0,0,4,0
50,1,1,916,4,0,0,0,3,0
162,3,1,42,12,5,0,4,10,1
155,6,0,26,18,2,1,4,2,1
155,5,1,59,13,1,0,6,10,1
53,1,1,1198,0,0,0,0,0,0
39,2,1,701,0,1,0,1,3,0
22,3,1,730,5,0,0,2,4,0
84,4,1,30,12,4,1,9,11,1
42,3,1,865,0,0,0,0,3,0
13,2,1,616,5,0,0,2,3,0
51,3,1,1473,0,0,0,1,0,0
51,2,1,1972,2,0,0,0,0,0
53,2,1,555,2,1,0,2,4,0
172,6,0,26,19,5,0,3,3,1
46,2,1,511,3,0,0,0,4,0
63,9,1,54,15,2,0,4,11,1
29,1,1,1184,2,1,0,0,2,0
23,3,1,1623,1,1,0,1,0,0
43,3,1,1100,5,1,0,2,0,0
182,10,0,87,9,3,1,6,8,1
60,6,1,80,6,5,1,5,12,1
89,8,0,86,7,1,0,4,5,1
127,7,0,24,19,1,1,6,15,1
27,3,1,1000,1,1,0,1,5,0
56,2,1,1510,5,1,0,0,2,0
52,7,1,55,19,2,1,8,11,1
191,6,1,84,8,5,1,3,10,1
119,6,1,41,10,2,0,5,10,1
48,3,1,896,2,0,0,1,5,0
44,2,1,788,1,0,0,2,1,0
179,4,0,39,17,2,0,6,3,1
151,9,0,59,9,3,1,3,15,1
23,2,1,250,3,1,0,1,5,0
21,3,1,410,0,1,0,0,3,0
31,1,1,1259,0,1,0,2,5,0
11,2,1,1453,1,1,0,2,3,0
121,7,0,51,9,2,1,4,2,1
122,5,0,63,9,1,0,9,15,1
58,2,1,1362,5,0,0,0,2,0
56,3,1,638,4,1,0,1,2,0
197,8,0,58,17,3,1,6,13,1
145,10,0,17,15,1,1,4,3,1
20,2,1,703,4,0,0,0,2,0
81,9,1,96,20,2,0,4,2,1
199,10,0,96,19,1,1,5,9,1
109,10,0,11,7,4,0,7,14,1
111,5,1,24,14,3,0,6,7,1
55,3,1,498,4,0,0,1,5,0
50,3,1,485,4,1,0,0,0,0
49,1,1,1297,3,1,0,2,4,0
57,2,1,929,1,0,0,2,2,0
14,1,1,1825,4,1,0,0,4,0
35,1,1,1446,0,1,0,2,2,0
145,3,1,62,17,2,0,6,15,1
19,2,1,764,5,0,0,0,3,0
49,2,1,323,0,1,0,1,1,0
33,1,1,807,4,1,0,1,5,0
75,5,0,1,11,5,1,7,15,1
23,3,1,1710,0,0,0,2,0,0
197,5,0,58,10,5,0,6,5,1
57,2,1,1101,2,0,0,1,0,0
51,2,1,1783,2,0,0,2,5,0
29,1,1,1554,3,0,0,0,1,0
48,1,1,682,3,0,0,0,1,0
15,1,1,719,5,0,0,0,3,0
73,4,1,13,7,5,1,6,10,1
69,10,0,49,11,1,0,4,7,1
96,3,0,93,18,1,0,5,10,1
